tradingsymbol,datetime,open,high,low,close,volume
NIFTY 50,2021-09-13 09:15:00,17363.55,17371.05,17298.05,17328.4,0
NIFTY 50,2021-09-13 09:45:00,17329.0,17334.15,17269.65,17288.2,0
NIFTY 50,2021-09-13 10:15:00,17286.55,17311.25,17285.8,17305.2,0
NIFTY 50,2021-09-13 10:45:00,17305.4,17325.15,17303.65,17316.0,0
NIFTY 50,2021-09-13 11:15:00,17316.15,17335.15,17306.75,17327.8,0
NIFTY 50,2021-09-13 11:45:00,17327.8,17335.4,17317.8,17330.3,0
NIFTY 50,2021-09-13 12:15:00,17331.3,17349.3,17327.65,17347.85,0
NIFTY 50,2021-09-13 12:45:00,17348.0,17371.7,17344.15,17359.95,0
NIFTY 50,2021-09-13 13:15:00,17361.15,17370.3,17343.9,17347.05,0
NIFTY 50,2021-09-13 13:45:00,17347.7,17369.8,17344.9,17363.25,0
NIFTY 50,2021-09-13 14:15:00,17363.0,17377.5,17342.15,17343.75,0
NIFTY 50,2021-09-13 14:45:00,17343.3,17363.6,17334.85,17357.7,0
NIFTY 50,2021-09-13 15:15:00,17357.8,17360.9,17344.2,17350.7,0
NIFTY 50,2021-09-14 09:15:00,17420.35,17438.3,17390.25,17423.7,0
NIFTY 50,2021-09-14 09:45:00,17423.8,17425.95,17404.2,17416.8,0
NIFTY 50,2021-09-14 10:15:00,17417.6,17431.9,17415.25,17426.05,0
NIFTY 50,2021-09-14 10:45:00,17426.5,17432.45,17420.7,17424.5,0
NIFTY 50,2021-09-14 11:15:00,17424.3,17426.35,17403.3,17412.7,0
NIFTY 50,2021-09-14 11:45:00,17412.0,17424.3,17410.0,17410.2,0
NIFTY 50,2021-09-14 12:15:00,17410.1,17420.4,17406.35,17413.25,0
NIFTY 50,2021-09-14 12:45:00,17412.15,17417.15,17371.5,17390.85,0
NIFTY 50,2021-09-14 13:15:00,17390.2,17405.2,17381.8,17384.1,0
NIFTY 50,2021-09-14 13:45:00,17384.35,17397.55,17374.15,17391.55,0
NIFTY 50,2021-09-14 14:15:00,17391.1,17397.15,17367.15,17381.5,0
NIFTY 50,2021-09-14 14:45:00,17381.15,17388.4,17372.25,17375.9,0
NIFTY 50,2021-09-14 15:15:00,17376.0,17385.75,17373.45,17382.0,0
NIFTY 50,2021-09-15 09:15:00,17387.65,17427.75,17387.65,17417.25,0
NIFTY 50,2021-09-15 09:45:00,17417.2,17448.95,17408.85,17447.0,0
NIFTY 50,2021-09-15 10:15:00,17447.75,17462.75,17444.3,17462.2,0
NIFTY 50,2021-09-15 10:45:00,17461.85,17462.55,17439.6,17452.45,0
NIFTY 50,2021-09-15 11:15:00,17452.25,17467.0,17452.2,17459.6,0
NIFTY 50,2021-09-15 11:45:00,17459.75,17475.75,17451.3,17468.05,0
NIFTY 50,2021-09-15 12:15:00,17468.7,17488.55,17464.7,17474.4,0
NIFTY 50,2021-09-15 12:45:00,17473.65,17499.75,17463.5,17494.15,0
NIFTY 50,2021-09-15 13:15:00,17494.2,17514.9,17483.4,17514.1,0
NIFTY 50,2021-09-15 13:45:00,17513.6,17522.6,17500.85,17520.1,0
NIFTY 50,2021-09-15 14:15:00,17521.05,17531.2,17511.9,17522.95,0
NIFTY 50,2021-09-15 14:45:00,17522.95,17532.6,17510.6,17513.15,0
NIFTY 50,2021-09-15 15:15:00,17514.35,17530.6,17513.55,17518.3,0
NIFTY 50,2021-09-16 09:15:00,17539.2,17576.7,17539.2,17559.05,0
NIFTY 50,2021-09-16 09:45:00,17559.45,17561.35,17511.8,17559.4,0
NIFTY 50,2021-09-16 10:15:00,17559.2,17566.55,17543.2,17548.8,0
NIFTY 50,2021-09-16 10:45:00,17548.5,17552.15,17530.2,17536.3,0
NIFTY 50,2021-09-16 11:15:00,17535.8,17552.45,17530.9,17543.45,0
NIFTY 50,2021-09-16 11:45:00,17542.7,17580.5,17535.7,17578.45,0
NIFTY 50,2021-09-16 12:15:00,17579.1,17597.0,17572.1,17595.2,0
NIFTY 50,2021-09-16 12:45:00,17595.25,17595.7,17569.5,17580.25,0
NIFTY 50,2021-09-16 13:15:00,17579.55,17594.4,17567.45,17589.85,0
NIFTY 50,2021-09-16 13:45:00,17589.95,17611.3,17587.25,17607.85,0
NIFTY 50,2021-09-16 14:15:00,17609.15,17636.45,17600.7,17629.95,0
NIFTY 50,2021-09-16 14:45:00,17630.1,17644.1,17625.05,17625.5,0
NIFTY 50,2021-09-16 15:15:00,17625.55,17635.4,17616.45,17627.55,0
NIFTY 50,2021-09-17 09:15:00,17709.65,17747.9,17695.65,17725.1,0
