date,nifty_open,nifty_close,fii_view,pro_view,is_expiry,strategy_name,daily_pnl,pnl_per_lot_rs,intraday_max_loss,intraday_max_profit,sl_hit,tp_hit,move_exit,exit_type,sl_points,tp_points,vix_open,nifty_change_pct,cumulative_pnl,cumulative_pnl_rs
2020-08-06,11185.7,11206.8,Neutral,Bearish,1,Iron Condor,-6.74,-168.57,-16.8,0.0,False,False,False,close,27.96,0.0,23.57,0.19,-6.74,-168.5
2020-08-06,11185.7,11206.8,Neutral,Bearish,1,Iron Butterfly,-6.75,-168.68,-22.1,0.0,False,False,False,close,44.74,0.0,23.57,0.19,-6.75,-168.75
2020-08-06,11185.7,11206.8,Neutral,Bearish,1,Bull Call Spread,3.18,79.46,-19.07,22.8,False,False,False,close,27.96,0.0,23.57,0.19,3.18,79.5
2020-08-06,11185.7,11206.8,Neutral,Bearish,1,Bear Put Spread,-11.17,-279.35,-23.79,16.38,False,False,False,close,27.96,0.0,23.57,0.19,-11.17,-279.25
2020-08-06,11185.7,11206.8,Neutral,Bearish,1,Straddle,-5.79,-144.64,0.0,13.6,False,False,False,close,33.56,0.0,23.57,0.19,-5.79,-144.75
2020-08-06,11185.7,11206.8,Neutral,Bearish,1,Strangle,-4.53,-113.31,-3.17,0.0,False,False,False,close,22.37,0.0,23.57,0.19,-4.53,-113.25
2020-08-06,11185.7,11206.8,Neutral,Bearish,1,Short Straddle,-2.21,-55.36,-21.6,0.0,False,False,False,close,55.93,0.0,23.57,0.19,-2.21,-55.25
2020-08-06,11185.7,11206.8,Neutral,Bearish,1,Short Strangle,-3.47,-86.69,-7.5,0.0,False,False,False,close,44.74,0.0,23.57,0.19,-3.47,-86.75
2020-08-07,11186.65,11216.9,Neutral,Bullish,0,Iron Condor,-5.62,-140.59,-8.77,0.0,False,False,False,close,27.97,0.0,23.15,0.27,-12.36,-309.0
2020-08-07,11186.65,11216.9,Neutral,Bullish,0,Iron Butterfly,-5.69,-142.27,-9.62,0.0,False,False,False,close,44.75,0.0,23.15,0.27,-12.44,-311.0
2020-08-07,11186.65,11216.9,Neutral,Bullish,0,Bull Call Spread,-1.17,-29.37,-9.14,1.59,False,False,False,close,27.97,0.0,23.15,0.27,2.01,50.25
2020-08-07,11186.65,11216.9,Neutral,Bullish,0,Bear Put Spread,-6.76,-168.94,-8.75,0.63,False,False,False,close,27.97,0.0,23.15,0.27,-17.93,-448.25
