rank,fii_view,pro_view,count,percentage,top_to_down,ttd_pct,down_to_up,dtu_pct,avg_range_pct,avg_oc_pct,avg_range_ttd,avg_oc_ttd,avg_range_dtu,avg_oc_dtu
1,Bullish,Strong Bullish,24,6.98,16,66.7,8,33.3,1.46,-0.4,1.46,-1.04,1.44,0.88
2,Neutral20,Neutral20,23,6.69,13,56.5,10,43.5,1.61,-0.17,1.76,-0.96,1.42,0.85
3,Strong Bearish,Strong Bearish,22,6.4,13,59.1,9,40.9,1.53,-0.17,1.51,-0.89,1.55,0.85
4,Bearish,Strong Bearish,22,6.4,14,63.6,8,36.4,1.49,-0.36,1.62,-0.96,1.25,0.69
5,Mildly Bearish,Strong Bearish,18,5.23,12,66.7,6,33.3,1.9,-0.45,1.86,-1.25,1.99,1.16
6,Neutral20,Bearish,16,4.65,11,68.8,5,31.2,1.75,-0.53,1.75,-1.14,1.75,0.83
7,Strong Bullish,Strong Bullish,16,4.65,9,56.2,7,43.8,1.94,-0.44,2.3,-1.43,1.48,0.83
8,Neutral20,Mildly Bearish,15,4.36,12,80.0,3,20.0,1.88,-0.81,1.9,-1.2,1.83,0.74
9,Mildly Bullish,Strong Bullish,14,4.07,10,71.4,4,28.6,1.61,-0.57,1.69,-1.2,1.42,1.0
10,Neutral20,Mildly Bullish,12,3.49,7,58.3,5,41.7,2.16,-0.71,2.42,-2.01,1.79,1.1
11,Neutral20,Strong Bullish,12,3.49,6,50.0,6,50.0,1.71,0.04,1.61,-1.11,1.81,1.19
12,Mildly Bearish,Bearish,12,3.49,7,58.3,5,41.7,1.59,-0.26,1.59,-0.93,1.58,0.68
13,Mildly Bullish,Bullish,12,3.49,8,66.7,4,33.3,2.04,-0.48,2.13,-1.28,1.86,1.13
14,Mildly Bearish,Neutral20,10,2.91,8,80.0,2,20.0,1.74,-0.79,1.83,-1.11,1.4,0.5
15,Neutral20,Bullish,10,2.91,5,50.0,5,50.0,1.66,0.13,1.68,-1.03,1.63,1.3
16,Neutral20,Strong Bearish,10,2.91,2,20.0,8,80.0,1.43,0.47,1.66,-1.11,1.37,0.86
17,Mildly Bullish,Neutral20,9,2.62,6,66.7,3,33.3,1.68,-0.74,1.76,-1.44,1.54,0.67
18,Bearish,Bearish,7,2.03,4,57.1,3,42.9,1.57,-0.15,1.52,-1.27,1.64,1.34
19,Bullish,Bullish,7,2.03,3,42.9,4,57.1,1.53,0.24,1.63,-0.94,1.46,1.13
20,Mildly Bullish,Strong Bearish,6,1.74,2,33.3,4,66.7,1.25,0.32,1.34,-0.73,1.2,0.84
21,Mildly Bullish,Bearish,5,1.45,3,60.0,2,40.0,1.47,-0.26,1.63,-0.87,1.23,0.66
22,Bearish,Mildly Bearish,5,1.45,3,60.0,2,40.0,1.49,-0.37,1.61,-1.11,1.32,0.75
23,Mildly Bullish,Mildly Bearish,4,1.16,1,25.0,3,75.0,1.74,0.13,1.79,-1.49,1.73,0.68
24,Mildly Bearish,Mildly Bearish,4,1.16,2,50.0,2,50.0,1.33,-0.46,1.52,-1.22,1.13,0.29
25,Mildly Bearish,Bullish,4,1.16,4,100.0,0,0.0,1.58,-0.61,1.58,-0.61,0.0,0.0
26,Bullish,Strong Bearish,4,1.16,1,25.0,3,75.0,1.48,0.4,1.42,-0.83,1.5,0.81
27,Mildly Bearish,Strong Bullish,4,1.16,2,50.0,2,50.0,1.62,-0.33,1.8,-1.18,1.44,0.53
28,Strong Bearish,Bearish,3,0.87,2,66.7,1,33.3,0.97,-0.3,1.01,-0.64,0.89,0.39
29,Bearish,Neutral20,3,0.87,1,33.3,2,66.7,1.53,-0.33,2.66,-2.26,0.97,0.64
30,Mildly Bearish,Mildly Bullish,3,0.87,1,33.3,2,66.7,2.06,-0.01,2.95,-2.35,1.62,1.16
31,Bullish,Mildly Bullish,3,0.87,0,0.0,3,100.0,1.54,1.13,0.0,0.0,1.54,1.13
32,Mildly Bullish,Mildly Bullish,3,0.87,1,33.3,2,66.7,1.43,0.67,1.33,-0.58,1.48,1.29
33,Bearish,Bullish,3,0.87,1,33.3,2,66.7,2.21,0.67,1.57,-1.12,2.52,1.56
34,Bullish,Neutral20,2,0.58,0,0.0,2,100.0,1.16,0.54,0.0,0.0,1.16,0.54
35,Bearish,Mildly Bullish,2,0.58,1,50.0,1,50.0,1.68,-0.32,2.14,-1.31,1.22,0.68
36,Strong Bearish,Bullish,2,0.58,0,0.0,2,100.0,1.96,1.25,0.0,0.0,1.96,1.25
37,Strong Bearish,Mildly Bearish,2,0.58,2,100.0,0,0.0,1.73,-1.14,1.73,-1.14,0.0,0.0
38,Strong Bearish,Neutral20,2,0.58,1,50.0,1,50.0,1.27,-0.26,1.59,-1.16,0.95,0.64
39,Strong Bearish,Strong Bullish,2,0.58,2,100.0,0,0.0,1.46,-0.66,1.46,-0.66,0.0,0.0
40,Strong Bullish,Mildly Bullish,2,0.58,1,50.0,1,50.0,2.16,0.26,1.54,-1.36,2.78,1.87
41,Bullish,Mildly Bearish,1,0.29,0,0.0,1,100.0,1.44,0.01,0.0,0.0,1.44,0.01
42,Strong Bullish,Bearish,1,0.29,0,0.0,1,100.0,1.63,1.3,0.0,0.0,1.63,1.3
43,Strong Bullish,Bullish,1,0.29,1,100.0,0,0.0,0.95,-0.32,0.95,-0.32,0.0,0.0
44,Strong Bullish,Strong Bearish,1,0.29,0,0.0,1,100.0,0.93,0.56,0.0,0.0,0.93,0.56
45,Bearish,Strong Bullish,1,0.29,0,0.0,1,100.0,1.59,0.81,0.0,0.0,1.59,0.81
