rank,fii_view,pro_view,total_days,days_above_1_5x,hit_rate_pct,avg_ratio,avg_range_pct,avg_oc_pct,ttd,ttd_pct,dtu,dtu_pct,above_avg_ratio,above_avg_range_pct,above_avg_oc_pct,above_ttd,above_ttd_pct,above_dtu,above_dtu_pct
1,Strong Bearish,Bullish,3,2,66.7,1.86,1.68,1.0,0,0.0,3,100.0,2.06,1.96,1.25,0,0.0,2,100.0
2,Bearish,Mildly Bullish,4,2,50.0,1.24,1.1,-0.26,3,75.0,1,25.0,1.66,1.68,-0.32,1,50.0,1,50.0
3,Bearish,Bullish,7,3,42.9,1.83,1.42,0.49,1,14.3,6,85.7,2.84,2.21,0.67,1,33.3,2,66.7
4,Strong Bearish,Strong Bullish,5,2,40.0,1.52,1.06,-0.27,4,80.0,1,20.0,2.16,1.46,-0.66,2,100.0,0,0.0
5,Mildly Bearish,Mildly Bullish,8,3,37.5,1.47,1.25,0.06,2,25.0,6,75.0,2.12,2.06,-0.01,1,33.3,2,66.7
6,Bearish,Mildly Bearish,14,5,35.7,1.24,0.96,-0.11,8,57.1,6,42.9,2.01,1.49,-0.37,3,60.0,2,40.0
7,Mildly Bearish,Neutral20,29,10,34.5,1.32,1.23,-0.25,18,62.1,11,37.9,1.96,1.74,-0.79,8,80.0,2,20.0
8,Strong Bearish,Neutral20,6,2,33.3,1.18,0.92,-0.21,4,66.7,2,33.3,1.78,1.27,-0.26,1,50.0,1,50.0
9,Mildly Bullish,Strong Bearish,18,6,33.3,1.34,0.92,0.04,9,50.0,9,50.0,1.86,1.25,0.32,2,33.3,4,66.7
10,Strong Bearish,Bearish,9,3,33.3,1.13,0.87,-0.08,5,55.6,4,44.4,1.62,0.97,-0.3,2,66.7,1,33.3
11,Mildly Bearish,Bullish,12,4,33.3,1.21,0.95,0.02,5,41.7,7,58.3,1.79,1.58,-0.61,4,100.0,0,0.0
12,Mildly Bullish,Mildly Bearish,12,4,33.3,1.29,1.1,0.25,3,25.0,9,75.0,2.1,1.74,0.13,1,25.0,3,75.0
13,Strong Bearish,Mildly Bearish,7,2,28.6,1.44,1.09,-0.46,5,71.4,2,28.6,2.37,1.73,-1.14,2,100.0,0,0.0
14,Strong Bullish,Mildly Bullish,7,2,28.6,1.23,1.12,-0.01,4,57.1,3,42.9,2.1,2.16,0.26,1,50.0,1,50.0
15,Mildly Bullish,Neutral20,32,9,28.1,1.23,1.06,-0.16,14,43.8,18,56.2,1.96,1.68,-0.74,6,66.7,3,33.3
16,Strong Bearish,Strong Bearish,80,22,27.5,1.32,1.02,-0.09,48,60.0,32,40.0,1.94,1.53,-0.17,13,59.1,9,40.9
17,Bullish,Mildly Bullish,11,3,27.3,1.19,0.85,0.22,5,45.5,6,54.5,2.36,1.54,1.13,0,0.0,3,100.0
18,Bullish,Bullish,26,7,26.9,1.2,0.98,0.03,12,46.2,14,53.8,1.95,1.53,0.24,3,42.9,4,57.1
19,Mildly Bearish,Strong Bullish,15,4,26.7,1.27,1.04,-0.01,5,33.3,10,66.7,2.14,1.62,-0.33,2,50.0,2,50.0
20,Neutral20,Bearish,61,16,26.2,1.28,1.13,0.01,25,41.0,36,59.0,2.03,1.75,-0.53,11,68.8,5,31.2
21,Neutral20,Mildly Bearish,59,15,25.4,1.23,1.12,-0.2,36,61.0,23,39.0,2.02,1.88,-0.81,12,80.0,3,20.0
22,Strong Bullish,Bearish,4,1,25.0,1.22,0.88,0.34,1,25.0,3,75.0,2.09,1.63,1.3,0,0.0,1,100.0
23,Mildly Bearish,Bearish,48,12,25.0,1.22,1.05,-0.07,29,60.4,19,39.6,1.84,1.59,-0.26,7,58.3,5,41.7
24,Mildly Bearish,Strong Bearish,76,18,23.7,1.36,1.14,-0.05,36,47.4,40,52.6,2.25,1.9,-0.45,12,66.7,6,33.3
25,Mildly Bullish,Bullish,51,12,23.5,1.25,1.07,-0.12,28,54.9,23,45.1,2.29,2.04,-0.48,8,66.7,4,33.3
26,Bullish,Strong Bearish,17,4,23.5,1.14,0.85,0.02,9,52.9,8,47.1,2.0,1.48,0.4,1,25.0,3,75.0
27,Mildly Bullish,Strong Bullish,60,14,23.3,1.26,1.02,-0.17,35,58.3,25,41.7,2.0,1.61,-0.57,10,71.4,4,28.6
28,Mildly Bullish,Bearish,22,5,22.7,1.26,0.97,0.13,9,40.9,13,59.1,2.06,1.47,-0.26,3,60.0,2,40.0
29,Neutral20,Neutral20,103,23,22.3,1.19,1.07,0.02,48,46.6,55,53.4,1.98,1.61,-0.17,13,56.5,10,43.5
30,Neutral20,Mildly Bullish,54,12,22.2,1.26,1.2,-0.13,29,53.7,25,46.3,2.24,2.16,-0.71,7,58.3,5,41.7
31,Bearish,Bearish,32,7,21.9,1.28,1.01,-0.14,18,56.2,14,43.8,2.08,1.57,-0.15,4,57.1,3,42.9
32,Bearish,Strong Bearish,102,22,21.6,1.25,1.02,-0.05,56,54.9,46,45.1,1.92,1.49,-0.36,14,63.6,8,36.4
