vix_accuracy,nifty_day,rank,fii_view,pro_view,count,percentage,top_to_down,ttd_pct,down_to_up,dtu_pct,avg_range_pct,avg_oc_pct,avg_range_ttd,avg_oc_ttd,avg_range_dtu,avg_oc_dtu
Overestimated,Green,1,Neutral,Neutral,78,12.7,0,0.0,78,100.0,0.9,0.4,0.0,0.0,0.9,0.4
Overestimated,Green,2,Neutral,Bearish,45,7.33,0,0.0,45,100.0,0.95,0.49,0.0,0.0,0.95,0.49
Overestimated,Green,3,Neutral,Strong Bullish,44,7.17,0,0.0,44,100.0,0.84,0.38,0.0,0.0,0.84,0.38
Overestimated,Green,4,Bullish,Strong Bullish,44,7.17,0,0.0,44,100.0,0.74,0.34,0.0,0.0,0.74,0.34
Overestimated,Green,5,Bearish,Strong Bearish,39,6.35,0,0.0,39,100.0,0.89,0.42,0.0,0.0,0.89,0.42
Overestimated,Green,6,Neutral,Bullish,38,6.19,0,0.0,38,100.0,0.85,0.42,0.0,0.0,0.85,0.42
Overestimated,Green,7,Strong Bullish,Strong Bullish,36,5.86,0,0.0,36,100.0,0.76,0.35,0.0,0.0,0.76,0.35
Overestimated,Green,8,Neutral,Strong Bearish,31,5.05,0,0.0,31,100.0,0.86,0.44,0.0,0.0,0.86,0.44
Overestimated,Green,9,Strong Bearish,Strong Bearish,27,4.4,0,0.0,27,100.0,0.87,0.44,0.0,0.0,0.87,0.44
Overestimated,Green,10,Mildly Bearish,Strong Bearish,22,3.58,0,0.0,22,100.0,0.86,0.39,0.0,0.0,0.86,0.39
Overestimated,Green,11,Neutral,Mildly Bullish,16,2.61,0,0.0,16,100.0,0.88,0.44,0.0,0.0,0.88,0.44
Overestimated,Green,12,Neutral,Mildly Bearish,16,2.61,0,0.0,16,100.0,0.95,0.48,0.0,0.0,0.95,0.48
Overestimated,Green,13,Mildly Bullish,Neutral,16,2.61,0,0.0,16,100.0,0.8,0.35,0.0,0.0,0.8,0.35
Overestimated,Green,14,Bullish,Neutral,13,2.12,0,0.0,13,100.0,0.87,0.43,0.0,0.0,0.87,0.43
Overestimated,Green,15,Bullish,Bullish,12,1.95,0,0.0,12,100.0,0.82,0.4,0.0,0.0,0.82,0.4
Overestimated,Green,16,Bearish,Bearish,11,1.79,0,0.0,11,100.0,0.89,0.21,0.0,0.0,0.89,0.21
Overestimated,Green,17,Mildly Bearish,Mildly Bearish,10,1.63,0,0.0,10,100.0,0.75,0.4,0.0,0.0,0.75,0.4
Overestimated,Green,18,Mildly Bearish,Neutral,10,1.63,0,0.0,10,100.0,0.89,0.39,0.0,0.0,0.89,0.39
Overestimated,Green,19,Mildly Bullish,Strong Bullish,10,1.63,0,0.0,10,100.0,0.75,0.36,0.0,0.0,0.75,0.36
Overestimated,Green,20,Mildly Bearish,Bearish,8,1.3,0,0.0,8,100.0,0.89,0.34,0.0,0.0,0.89,0.34
