rank,fii_view,pro_view,count,percentage,top_to_down,ttd_pct,down_to_up,dtu_pct,avg_range_pct,avg_oc_pct,avg_range_ttd,avg_oc_ttd,avg_range_dtu,avg_oc_dtu
1,Neutral,Neutral,155,12.81,77,49.7,78,50.3,0.88,0.04,0.85,-0.33,0.9,0.4
2,Bullish,Strong Bullish,111,9.17,67,60.4,44,39.6,0.76,-0.1,0.76,-0.39,0.74,0.34
3,Bearish,Strong Bearish,83,6.86,44,53.0,39,47.0,0.86,0.01,0.84,-0.36,0.89,0.42
4,Neutral,Strong Bullish,79,6.53,35,44.3,44,55.7,0.83,0.03,0.82,-0.41,0.84,0.38
5,Neutral,Bearish,73,6.03,28,38.4,45,61.6,0.89,0.17,0.81,-0.36,0.95,0.49
6,Neutral,Strong Bearish,67,5.54,36,53.7,31,46.3,0.81,0.01,0.77,-0.36,0.86,0.44
7,Neutral,Bullish,65,5.37,27,41.5,38,58.5,0.81,0.1,0.77,-0.35,0.85,0.42
8,Strong Bearish,Strong Bearish,64,5.29,37,57.8,27,42.2,0.84,-0.03,0.82,-0.36,0.87,0.44
9,Strong Bullish,Strong Bullish,59,4.88,23,39.0,36,61.0,0.74,0.08,0.72,-0.33,0.76,0.35
10,Neutral,Mildly Bearish,40,3.31,24,60.0,16,40.0,0.94,-0.05,0.93,-0.4,0.95,0.48
11,Mildly Bearish,Strong Bearish,39,3.22,17,43.6,22,56.4,0.86,0.02,0.86,-0.45,0.86,0.39
12,Mildly Bullish,Strong Bullish,31,2.56,21,67.7,10,32.3,0.76,-0.17,0.76,-0.42,0.75,0.36
13,Neutral,Mildly Bullish,30,2.48,14,46.7,16,53.3,0.95,0.01,1.02,-0.47,0.88,0.44
14,Bearish,Bearish,26,2.15,15,57.7,11,42.3,0.86,-0.15,0.84,-0.41,0.89,0.21
15,Mildly Bullish,Neutral,24,1.98,8,33.3,16,66.7,0.84,0.07,0.91,-0.49,0.8,0.35
16,Mildly Bearish,Bearish,22,1.82,14,63.6,8,36.4,0.88,-0.08,0.87,-0.32,0.89,0.34
17,Bullish,Bullish,22,1.82,10,45.5,12,54.5,0.84,-0.01,0.86,-0.5,0.82,0.4
18,Bullish,Neutral,20,1.65,7,35.0,13,65.0,0.85,0.17,0.83,-0.31,0.87,0.43
19,Mildly Bullish,Bullish,19,1.57,12,63.2,7,36.8,0.84,-0.13,0.86,-0.45,0.8,0.42
20,Bearish,Neutral,17,1.4,10,58.8,7,41.2,0.99,-0.05,0.97,-0.6,1.03,0.75
21,Mildly Bearish,Neutral,14,1.16,4,28.6,10,71.4,0.94,0.12,1.07,-0.56,0.89,0.39
22,Bullish,Strong Bearish,14,1.16,8,57.1,6,42.9,0.69,-0.04,0.67,-0.27,0.72,0.27
23,Mildly Bearish,Mildly Bearish,11,0.91,1,9.1,10,90.9,0.79,0.27,1.21,-0.94,0.75,0.4
24,Mildly Bullish,Strong Bearish,10,0.83,5,50.0,5,50.0,0.75,-0.06,0.81,-0.42,0.69,0.3
25,Strong Bearish,Bearish,9,0.74,5,55.6,4,44.4,0.87,-0.08,0.89,-0.4,0.85,0.32
26,Bearish,Strong Bullish,9,0.74,5,55.6,4,44.4,0.74,0.0,0.77,-0.18,0.7,0.24
27,Bullish,Mildly Bearish,8,0.66,5,62.5,3,37.5,0.88,-0.26,0.88,-0.51,0.87,0.16
28,Mildly Bullish,Mildly Bullish,8,0.66,2,25.0,6,75.0,0.96,0.18,0.95,-0.82,0.96,0.52
29,Mildly Bullish,Bearish,8,0.66,4,50.0,4,50.0,0.66,0.04,0.59,-0.23,0.74,0.31
30,Bearish,Mildly Bearish,7,0.58,4,57.1,3,42.9,0.64,-0.04,0.71,-0.32,0.54,0.33
31,Strong Bearish,Neutral,6,0.5,3,50.0,3,50.0,0.75,0.0,0.86,-0.25,0.65,0.25
32,Strong Bullish,Strong Bearish,6,0.5,3,50.0,3,50.0,0.79,0.07,0.71,-0.17,0.87,0.3
33,Strong Bullish,Neutral,6,0.5,4,66.7,2,33.3,0.58,-0.01,0.49,-0.18,0.78,0.34
34,Strong Bearish,Mildly Bearish,5,0.41,3,60.0,2,40.0,0.83,-0.19,0.91,-0.47,0.7,0.23
35,Strong Bullish,Bullish,5,0.41,1,20.0,4,80.0,0.84,0.24,0.95,-0.32,0.82,0.38
36,Bullish,Mildly Bullish,5,0.41,4,80.0,1,20.0,0.6,-0.14,0.58,-0.22,0.69,0.18
37,Mildly Bearish,Strong Bullish,5,0.41,0,0.0,5,100.0,0.92,0.36,0.0,0.0,0.92,0.36
38,Bearish,Bullish,4,0.33,0,0.0,4,100.0,0.83,0.36,0.0,0.0,0.83,0.36
39,Mildly Bearish,Bullish,4,0.33,1,25.0,3,75.0,0.5,0.13,0.3,-0.02,0.57,0.18
40,Bearish,Mildly Bullish,3,0.25,2,66.7,1,33.3,0.76,0.09,0.53,-0.2,1.22,0.68
41,Strong Bearish,Strong Bullish,3,0.25,2,66.7,1,33.3,0.79,-0.01,0.78,-0.36,0.79,0.7
42,Strong Bullish,Bearish,3,0.25,1,33.3,2,66.7,0.64,0.02,0.78,-0.32,0.57,0.18
43,Strong Bullish,Mildly Bullish,3,0.25,2,66.7,1,33.3,0.85,-0.23,0.88,-0.53,0.78,0.38
44,Bullish,Bearish,3,0.25,1,33.3,2,66.7,1.0,0.13,0.67,-0.05,1.17,0.22
45,Mildly Bearish,Mildly Bullish,2,0.17,0,0.0,2,100.0,0.88,0.48,0.0,0.0,0.88,0.48
46,Strong Bearish,Bullish,1,0.08,0,0.0,1,100.0,1.1,0.51,0.0,0.0,1.1,0.51
47,Strong Bullish,Mildly Bearish,1,0.08,0,0.0,1,100.0,0.45,0.06,0.0,0.0,0.45,0.06
48,Mildly Bullish,Mildly Bearish,1,0.08,0,0.0,1,100.0,0.82,0.66,0.0,0.0,0.82,0.66
