rank,fii_view,pro_view,count,percentage,top_to_down,ttd_pct,down_to_up,dtu_pct,avg_range_pct,avg_oc_pct,avg_range_ttd,avg_oc_ttd,avg_range_dtu,avg_oc_dtu
1,Bullish,Strong Bullish,111,9.17,67,60.4,44,39.6,0.76,-0.1,0.76,-0.39,0.74,0.34
2,Bearish,Strong Bearish,83,6.86,44,53.0,39,47.0,0.86,0.01,0.84,-0.36,0.89,0.42
3,Mildly Bearish,Strong Bearish,71,5.87,33,46.5,38,53.5,0.86,0.01,0.85,-0.44,0.88,0.4
4,Strong Bearish,Strong Bearish,64,5.29,37,57.8,27,42.2,0.84,-0.03,0.82,-0.36,0.87,0.44
5,Strong Bullish,Strong Bullish,62,5.12,25,40.3,37,59.7,0.74,0.07,0.71,-0.33,0.76,0.34
6,Mildly Bullish,Strong Bullish,61,5.04,32,52.5,29,47.5,0.81,-0.06,0.79,-0.44,0.84,0.36
7,Mildly Bullish,Bullish,60,4.96,30,50.0,30,50.0,0.81,-0.01,0.81,-0.41,0.8,0.39
8,Mildly Bearish,Bearish,53,4.38,32,60.4,21,39.6,0.86,-0.01,0.83,-0.32,0.91,0.46
9,Mildly Bullish,Mildly Bullish,50,4.13,23,46.0,27,54.0,0.93,0.04,0.91,-0.45,0.95,0.46
10,Mildly Bearish,Mildly Bearish,49,4.05,23,46.9,26,53.1,0.91,-0.01,0.93,-0.48,0.89,0.41
11,Neutral10,Mildly Bearish,38,3.14,21,55.3,17,44.7,0.93,-0.01,0.93,-0.35,0.93,0.4
12,Neutral10,Mildly Bullish,33,2.73,18,54.5,15,45.5,0.91,0.01,0.97,-0.34,0.83,0.43
13,Neutral10,Strong Bullish,32,2.64,15,46.9,17,53.1,0.84,0.09,0.81,-0.29,0.86,0.42
14,Mildly Bullish,Mildly Bearish,29,2.4,9,31.0,20,69.0,0.85,0.2,0.85,-0.38,0.85,0.45
15,Neutral10,Neutral10,27,2.23,14,51.9,13,48.1,0.87,0.03,0.89,-0.33,0.84,0.42
16,Bearish,Bearish,26,2.15,15,57.7,11,42.3,0.86,-0.15,0.84,-0.41,0.89,0.21
17,Neutral10,Bearish,25,2.07,6,24.0,19,76.0,0.95,0.19,1.01,-0.61,0.93,0.45
18,Mildly Bullish,Bearish,25,2.07,8,32.0,17,68.0,0.81,0.26,0.55,-0.2,0.94,0.47
19,Mildly Bullish,Strong Bearish,23,1.9,10,43.5,13,56.5,0.77,0.02,0.78,-0.39,0.76,0.34
20,Neutral10,Strong Bearish,22,1.82,15,68.2,7,31.8,0.74,-0.01,0.7,-0.28,0.85,0.58
21,Bullish,Bullish,22,1.82,10,45.5,12,54.5,0.84,-0.01,0.86,-0.5,0.82,0.4
22,Mildly Bearish,Mildly Bullish,22,1.82,9,40.9,13,59.1,0.82,0.0,0.83,-0.37,0.81,0.26
23,Mildly Bearish,Strong Bullish,22,1.82,9,40.9,13,59.1,0.77,-0.02,0.79,-0.52,0.76,0.33
