rank,fii_view,pro_view,count,percentage,top_to_down,ttd_pct,down_to_up,dtu_pct,avg_range_pct,avg_oc_pct,avg_range_ttd,avg_oc_ttd,avg_range_dtu,avg_oc_dtu
1,Neutral,Neutral,39,14.03,23,59.0,16,41.0,1.88,-0.44,2.06,-1.38,1.63,0.91
2,Bearish,Strong Bearish,19,6.83,12,63.2,7,36.8,1.73,-0.31,1.78,-1.05,1.66,0.96
3,Neutral,Bearish,19,6.83,11,57.9,8,42.1,1.88,-0.43,1.99,-1.35,1.73,0.82
4,Bullish,Strong Bullish,18,6.47,12,66.7,6,33.3,1.59,-0.46,1.6,-1.16,1.57,0.92
5,Strong Bearish,Strong Bearish,16,5.76,11,68.8,5,31.2,1.72,-0.36,1.6,-0.96,1.99,0.97
6,Neutral,Strong Bearish,15,5.4,5,33.3,10,66.7,1.64,0.45,1.47,-0.91,1.73,1.13
7,Neutral,Bullish,14,5.04,10,71.4,4,28.6,2.02,-0.29,1.96,-1.09,2.16,1.69
8,Mildly Bearish,Strong Bearish,14,5.04,8,57.1,6,42.9,2.02,-0.39,2.16,-1.44,1.84,1.0
9,Neutral,Strong Bullish,12,4.32,6,50.0,6,50.0,1.96,-0.01,2.0,-1.24,1.92,1.22
10,Strong Bullish,Strong Bullish,11,3.96,6,54.5,5,45.5,2.13,-0.39,2.56,-1.55,1.61,1.0
11,Neutral,Mildly Bearish,10,3.6,7,70.0,3,30.0,2.01,-0.79,2.09,-1.45,1.83,0.74
12,Neutral,Mildly Bullish,9,3.24,5,55.6,4,44.4,2.13,-0.72,2.51,-2.09,1.66,1.0
13,Mildly Bullish,Strong Bullish,9,3.24,6,66.7,3,33.3,1.92,-0.47,1.89,-1.3,1.99,1.19
14,Mildly Bullish,Bullish,7,2.52,4,57.1,3,42.9,1.81,-0.35,1.92,-1.27,1.66,0.89
15,Mildly Bearish,Bearish,7,2.52,4,57.1,3,42.9,1.64,-0.05,1.61,-0.65,1.67,0.75
16,Bearish,Bearish,6,2.16,3,50.0,3,50.0,1.64,-0.07,1.63,-1.48,1.64,1.34
17,Mildly Bearish,Neutral,5,1.8,5,100.0,0,0.0,1.79,-0.94,1.79,-0.94,0.0,0.0
18,Mildly Bullish,Neutral,4,1.44,3,75.0,1,25.0,1.89,-0.94,1.81,-1.4,2.15,0.43
19,Bearish,Mildly Bearish,4,1.44,2,50.0,2,50.0,1.62,-0.31,1.93,-1.37,1.32,0.75
20,Bullish,Bullish,4,1.44,2,50.0,2,50.0,1.74,0.26,1.84,-0.88,1.64,1.42
21,Bullish,Mildly Bullish,3,1.08,0,0.0,3,100.0,1.54,1.13,0.0,0.0,1.54,1.13
22,Bearish,Bullish,3,1.08,1,33.3,2,66.7,2.21,0.67,1.57,-1.12,2.52,1.56
23,Mildly Bearish,Bullish,3,1.08,3,100.0,0,0.0,1.47,-0.62,1.47,-0.62,0.0,0.0
24,Bullish,Strong Bearish,3,1.08,1,33.3,2,66.7,1.58,0.32,1.42,-0.83,1.66,0.9
25,Strong Bearish,Neutral,3,1.08,3,100.0,0,0.0,1.68,-1.15,1.68,-1.15,0.0,0.0
26,Bearish,Neutral,2,0.72,2,100.0,0,0.0,2.4,-1.78,2.4,-1.78,0.0,0.0
27,Strong Bullish,Mildly Bullish,2,0.72,1,50.0,1,50.0,2.16,0.26,1.54,-1.36,2.78,1.87
28,Strong Bearish,Strong Bullish,2,0.72,2,100.0,0,0.0,1.46,-0.66,1.46,-0.66,0.0,0.0
29,Strong Bearish,Bullish,2,0.72,0,0.0,2,100.0,1.96,1.25,0.0,0.0,1.96,1.25
30,Mildly Bullish,Bearish,2,0.72,2,100.0,0,0.0,1.7,-1.1,1.7,-1.1,0.0,0.0
31,Mildly Bearish,Strong Bullish,2,0.72,1,50.0,1,50.0,1.91,-0.38,2.21,-1.37,1.61,0.62
32,Mildly Bearish,Mildly Bullish,2,0.72,1,50.0,1,50.0,2.64,-0.15,2.95,-2.35,2.32,2.05
33,Mildly Bullish,Mildly Bullish,2,0.72,0,0.0,2,100.0,1.48,1.29,0.0,0.0,1.48,1.29
34,Mildly Bullish,Mildly Bearish,2,0.72,1,50.0,1,50.0,2.04,-0.42,1.79,-1.49,2.29,0.66
35,Bearish,Strong Bullish,1,0.36,0,0.0,1,100.0,1.59,0.81,0.0,0.0,1.59,0.81
36,Mildly Bullish,Strong Bearish,1,0.36,1,100.0,0,0.0,1.31,-0.92,1.31,-0.92,0.0,0.0
37,Strong Bullish,Bearish,1,0.36,0,0.0,1,100.0,1.63,1.3,0.0,0.0,1.63,1.3
