rank,fii_view,pro_view,count,percentage,top_to_down,ttd_pct,down_to_up,dtu_pct,avg_range_pct,avg_oc_pct,avg_range_ttd,avg_oc_ttd,avg_range_dtu,avg_oc_dtu
1,Mildly Bearish,Strong Bearish,21,7.55,11,52.4,10,47.6,1.88,-0.16,1.93,-1.28,1.82,1.06
2,Bearish,Strong Bearish,19,6.83,12,63.2,7,36.8,1.73,-0.31,1.78,-1.05,1.66,0.96
3,Bullish,Strong Bullish,18,6.47,12,66.7,6,33.3,1.59,-0.46,1.6,-1.16,1.57,0.92
4,Mildly Bearish,Mildly Bearish,18,6.47,15,83.3,3,16.7,1.83,-1.01,1.88,-1.25,1.58,0.15
5,Mildly Bearish,Bearish,17,6.12,10,58.8,7,41.2,1.79,-0.34,1.92,-1.19,1.61,0.87
6,Strong Bearish,Strong Bearish,16,5.76,11,68.8,5,31.2,1.72,-0.36,1.6,-0.96,1.99,0.97
7,Mildly Bullish,Strong Bullish,16,5.76,9,56.2,7,43.8,1.98,-0.17,1.89,-1.36,2.11,1.37
8,Mildly Bullish,Bullish,14,5.04,9,64.3,5,35.7,2.05,-0.35,2.11,-1.31,1.96,1.37
9,Strong Bullish,Strong Bullish,13,4.68,8,61.5,5,38.5,2.13,-0.55,2.46,-1.52,1.61,1.0
10,Mildly Bullish,Mildly Bullish,10,3.6,5,50.0,5,50.0,1.81,-0.19,2.07,-1.58,1.54,1.19
11,Mildly Bullish,Mildly Bearish,9,3.24,6,66.7,3,33.3,1.76,-0.71,1.77,-1.4,1.73,0.68
12,Mildly Bullish,Bearish,7,2.52,6,85.7,1,14.3,1.71,-0.83,1.78,-1.06,1.3,0.5
13,Neutral10,Mildly Bullish,7,2.52,4,57.1,3,42.9,1.93,-0.54,2.17,-1.58,1.62,0.85
14,Mildly Bullish,Strong Bearish,7,2.52,3,42.9,4,57.1,1.42,0.06,1.58,-0.99,1.3,0.84
15,Mildly Bearish,Mildly Bullish,7,2.52,2,28.6,5,71.4,2.25,0.12,2.98,-2.64,1.96,1.22
16,Bearish,Bearish,6,2.16,3,50.0,3,50.0,1.64,-0.07,1.63,-1.48,1.64,1.34
17,Mildly Bearish,Bullish,6,2.16,4,66.7,2,33.3,1.69,0.02,1.58,-0.61,1.92,1.28
18,Neutral10,Mildly Bearish,6,2.16,2,33.3,4,66.7,2.26,-0.06,3.44,-2.52,1.68,1.18
19,Mildly Bearish,Neutral10,5,1.8,3,60.0,2,40.0,1.7,-0.11,1.74,-0.9,1.64,1.06
20,Mildly Bullish,Neutral10,5,1.8,4,80.0,1,20.0,2.04,-0.91,2.01,-1.24,2.15,0.43
21,Mildly Bearish,Strong Bullish,4,1.44,2,50.0,2,50.0,1.99,-0.58,2.55,-1.68,1.44,0.53
22,Bearish,Mildly Bearish,4,1.44,2,50.0,2,50.0,1.62,-0.31,1.93,-1.37,1.32,0.75
23,Bullish,Bullish,4,1.44,2,50.0,2,50.0,1.74,0.26,1.84,-0.88,1.64,1.42
24,Neutral10,Neutral10,4,1.44,2,50.0,2,50.0,2.23,-0.18,2.72,-1.42,1.75,1.06
25,Neutral10,Bearish,4,1.44,1,25.0,3,75.0,2.06,0.22,1.96,-1.36,2.09,0.74
26,Neutral10,Bullish,4,1.44,4,100.0,0,0.0,1.62,-0.9,1.62,-0.9,0.0,0.0
27,Strong Bearish,Mildly Bearish,3,1.08,3,100.0,0,0.0,1.68,-1.15,1.68,-1.15,0.0,0.0
28,Neutral10,Strong Bullish,3,1.08,2,66.7,1,33.3,1.65,-0.06,1.73,-0.51,1.48,0.84
29,Bullish,Strong Bearish,3,1.08,1,33.3,2,66.7,1.58,0.32,1.42,-0.83,1.66,0.9
30,Bullish,Mildly Bullish,3,1.08,0,0.0,3,100.0,1.54,1.13,0.0,0.0,1.54,1.13
31,Bearish,Bullish,3,1.08,1,33.3,2,66.7,2.21,0.67,1.57,-1.12,2.52,1.56
32,Neutral10,Strong Bearish,2,0.72,0,0.0,2,100.0,2.42,1.64,0.0,0.0,2.42,1.64
33,Strong Bearish,Bullish,2,0.72,0,0.0,2,100.0,1.96,1.25,0.0,0.0,1.96,1.25
34,Strong Bearish,Strong Bullish,2,0.72,2,100.0,0,0.0,1.46,-0.66,1.46,-0.66,0.0,0.0
35,Strong Bullish,Mildly Bullish,2,0.72,1,50.0,1,50.0,2.16,0.26,1.54,-1.36,2.78,1.87
36,Bearish,Neutral10,1,0.36,1,100.0,0,0.0,2.66,-2.26,2.66,-2.26,0.0,0.0
37,Bearish,Strong Bullish,1,0.36,0,0.0,1,100.0,1.59,0.81,0.0,0.0,1.59,0.81
38,Strong Bullish,Bearish,1,0.36,0,0.0,1,100.0,1.63,1.3,0.0,0.0,1.63,1.3
39,Bearish,Mildly Bullish,1,0.36,1,100.0,0,0.0,2.14,-1.31,2.14,-1.31,0.0,0.0
